Flight Number,Departure Date,Arrival Date,Via,Duration
681,2023-10-10,2023-10-11,TPE/HK,"1 day, 0:00:00"
651,2023-10-10,2023-10-11,NRT/HK,"1 day, 0:00:00"
129,2023-10-10,2023-10-11,ICN/HK,"1 day, 0:00:00"
205,2023-10-10,2023-10-11,KIX/HK,"1 day, 0:00:00"
392,2023-10-10,2023-10-11,PEN/HK,"1 day, 0:00:00"
456,2023-10-10,2023-10-11,CEB/MNL/HK,"1 day, 0:00:00"
035,2023-10-10,2023-10-11,KIX/ICN/HK,"1 day, 0:00:00"
217,2023-10-10,2023-10-11,NGO/HK,"1 day, 0:00:00"
209,2023-10-10,2023-10-11,NRT/HK,"1 day, 0:00:00"
769,2023-10-10,2023-10-11,PEK/HK,"1 day, 0:00:00"
681,2023-10-10,2023-10-11,TPE/HK,"1 day, 0:00:00"
651,2023-10-10,2023-10-11,NRT/HK,"1 day, 0:00:00"
129,2023-10-10,2023-10-11,ICN/HK,"1 day, 0:00:00"
205,2023-10-10,2023-10-11,KIX/HK,"1 day, 0:00:00"
392,2023-10-10,2023-10-11,PEN/HK,"1 day, 0:00:00"
456,2023-10-10,2023-10-11,CEB/MNL/HK,"1 day, 0:00:00"
035,2023-10-10,2023-10-11,KIX/ICN/HK,"1 day, 0:00:00"
217,2023-10-10,2023-10-11,NGO/HK,"1 day, 0:00:00"
209,2023-10-10,2023-10-11,NRT/HK,"1 day, 0:00:00"
769,2023-10-10,2023-10-11,PEK/HK,"1 day, 0:00:00"
783,2023-10-10,2023-10-11,PVG/HK,"1 day, 0:00:00"
627,2023-10-10,2023-10-11,ICN/HK,"1 day, 0:00:00"
721,2023-10-10,2023-10-11,CTU/HK,"1 day, 0:00:00"
326,2023-10-10,2023-10-11,SIN/HK,"1 day, 0:00:00"
842,2023-10-10,2023-10-11,BKK/HK,"1 day, 0:00:00"
562,2023-10-10,2023-10-11,SGN/HK,"1 day, 0:00:00"
048,2023-10-10,2023-10-11,DAC/HAN/HK,"1 day, 0:00:00"
2046,2023-10-10,2023-10-11,DEL/HK,"1 day, 0:00:00"
3122,2023-10-10,2023-10-11,SYD/MEL/WTB/HK,"1 day, 0:00:00"
099,2023-10-09,2023-10-11,JFK/ORD/ANC/HK,"2 days, 0:00:00"
3261,2023-10-11,2023-10-11,CKG/HK,0:00:00
765,2023-10-10,2023-10-11,HKT/HK,"1 day, 0:00:00"
623,2023-10-11,2023-10-11,HND/HK,0:00:00
811,2023-10-10,2023-10-11,BOS/HK,"1 day, 0:00:00"
138,2023-10-10,2023-10-11,SYD/HK,"1 day, 0:00:00"
829,2023-10-10,2023-10-11,YYZ/HK,"1 day, 0:00:00"
676,2023-10-10,2023-10-11,TLV/HK,"1 day, 0:00:00"
843,2023-10-10,2023-10-11,JFK/HK,"1 day, 0:00:00"
2083,2023-10-09,2023-10-11,LAX/PDX/ANC/HK,"2 days, 0:00:00"
883,2023-10-09,2023-10-11,LAX/HK,"2 days, 0:00:00"
714,2023-10-11,2023-10-11,SIN/HK,0:00:00
748,2023-10-10,2023-10-11,JNB/HK,"1 day, 0:00:00"
