user_id,age,gender,location,favorite_categories,user_preferences
0,26,Male,Location C,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
1,44,Male,Location C,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
2,19,Female,Location A,"['Beauty', 'Beauty']","{'favorite_categories': ['Beauty', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
3,42,Female,Location B,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
4,47,Female,Location A,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
5,53,Male,Location B,"['Clothing', 'Clothing']","{'favorite_categories': ['Clothing', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
6,44,Female,Location B,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
7,33,Female,Location C,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}}"
8,55,Male,Location B,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
9,48,Female,Location A,"['Clothing', 'Clothing']","{'favorite_categories': ['Clothing', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
10,55,Male,Location B,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}}"
11,42,Female,Location C,"['Electronics', 'Electronics']","{'favorite_categories': ['Electronics', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
12,21,Male,Location C,"['Clothing', 'Electronics']","{'favorite_categories': ['Clothing', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}}"
13,23,Male,Location A,"['Home', 'Home']","{'favorite_categories': ['Home', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
14,43,Male,Location A,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
15,59,Female,Location B,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
16,21,Female,Location B,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}}"
17,54,Female,Location A,"['Electronics', 'Home']","{'favorite_categories': ['Electronics', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
18,40,Female,Location C,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
19,58,Male,Location A,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
20,24,Male,Location C,"['Beauty', 'Home']","{'favorite_categories': ['Beauty', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
21,55,Male,Location B,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}}"
22,51,Female,Location A,"['Beauty', 'Electronics']","{'favorite_categories': ['Beauty', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Blue', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}}"
23,60,Female,Location B,"['Home', 'Electronics']","{'favorite_categories': ['Home', 'Electronics'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}}"
24,58,Female,Location C,"['Home', 'Beauty']","{'favorite_categories': ['Home', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}}"
25,36,Male,Location B,"['Clothing', 'Home']","{'favorite_categories': ['Clothing', 'Home'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
26,38,Male,Location C,"['Clothing', 'Beauty']","{'favorite_categories': ['Clothing', 'Beauty'], 'favorite_brands': [], 'product_features': {'color': 'Green', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
27,45,Male,Location B,"['Electronics', 'Clothing']","{'favorite_categories': ['Electronics', 'Clothing'], 'favorite_brands': [], 'product_features': {'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}}"
